x, y, z, wartosc
1.4, 0.0, 2.4, 3.8
1.04, -0.38, 2.4, 3.07
0.79, -0.67, 2.39, 2.52
0.62, -0.87, 2.36, 2.11
0.52, -0.99, 2.28, 1.81
0.46, -1.03, 2.15, 1.58
0.41, -0.98, 1.94, 1.37
0.37, -0.85, 1.63, 1.15
0.3, -0.65, 1.22, 0.87
0.18, -0.36, 0.68, 0.5
0.0, 0.0, 0.0, 0.0
1.38, -0.23, 2.4, 3.55
1.11, -0.45, 2.41, 3.06
0.9, -0.64, 2.4, 2.67
0.74, -0.78, 2.37, 2.33
0.62, -0.87, 2.3, 2.05
0.53, -0.91, 2.16, 1.78
0.45, -0.88, 1.95, 1.52
0.36, -0.78, 1.64, 1.23
0.27, -0.6, 1.22, 0.89
0.15, -0.34, 0.68, 0.49
0.0, 0.0, 0.0, 0.0
1.33, -0.44, 2.38, 3.28
1.14, -0.54, 2.4, 3.0
0.98, -0.64, 2.4, 2.73
0.84, -0.72, 2.37, 2.48
0.71, -0.78, 2.29, 2.23
0.6, -0.8, 2.16, 1.96
0.5, -0.77, 1.94, 1.66
0.39, -0.69, 1.63, 1.33
0.27, -0.54, 1.22, 0.95
0.15, -0.31, 0.68, 0.51
0.0, 0.0, 0.0, 0.0
1.25, -0.61, 2.34, 2.97
1.13, -0.62, 2.36, 2.86
1.01, -0.65, 2.36, 2.72
0.9, -0.68, 2.33, 2.55
0.79, -0.7, 2.26, 2.34
0.67, -0.7, 2.12, 2.09
0.55, -0.67, 1.91, 1.79
0.43, -0.6, 1.61, 1.44
0.29, -0.47, 1.2, 1.02
0.15, -0.27, 0.67, 0.55
0.0, 0.0, 0.0, 0.0
1.13, -0.74, 2.25, 2.64
1.08, -0.69, 2.27, 2.66
1.01, -0.66, 2.28, 2.62
0.92, -0.65, 2.25, 2.53
0.83, -0.63, 2.18, 2.37
0.72, -0.61, 2.05, 2.15
0.6, -0.57, 1.84, 1.87
0.47, -0.5, 1.55, 1.51
0.32, -0.39, 1.15, 1.09
0.17, -0.23, 0.64, 0.58
0.0, 0.0, 0.0, 0.0
0.99, -0.82, 2.1, 2.27
0.99, -0.73, 2.12, 2.38
0.95, -0.66, 2.13, 2.43
0.9, -0.61, 2.11, 2.4
0.83, -0.57, 2.04, 2.31
0.74, -0.52, 1.92, 2.13
0.63, -0.47, 1.72, 1.88
0.5, -0.4, 1.45, 1.54
0.35, -0.31, 1.08, 1.12
0.18, -0.18, 0.6, 0.61
0.0, 0.0, 0.0, 0.0
0.83, -0.83, 1.88, 1.88
0.86, -0.72, 1.91, 2.05
0.86, -0.63, 1.91, 2.14
0.84, -0.56, 1.89, 2.17
0.79, -0.49, 1.83, 2.13
0.72, -0.44, 1.72, 2.0
0.62, -0.38, 1.55, 1.79
0.5, -0.31, 1.3, 1.49
0.36, -0.23, 0.97, 1.1
0.19, -0.13, 0.54, 0.6
0.0, 0.0, 0.0, 0.0
0.65, -0.77, 1.58, 1.46
0.69, -0.66, 1.6, 1.64
0.72, -0.56, 1.6, 1.76
0.72, -0.48, 1.59, 1.83
0.69, -0.41, 1.54, 1.82
0.64, -0.34, 1.44, 1.74
0.57, -0.28, 1.3, 1.58
0.47, -0.22, 1.09, 1.34
0.34, -0.15, 0.81, 1.0
0.18, -0.08, 0.45, 0.55
0.0, 0.0, 0.0, 0.0
0.45, -0.61, 1.17, 1.0
0.5, -0.52, 1.19, 1.16
0.53, -0.44, 1.19, 1.28
0.54, -0.37, 1.18, 1.35
0.53, -0.3, 1.14, 1.37
0.51, -0.24, 1.07, 1.34
0.45, -0.19, 0.96, 1.23
0.38, -0.13, 0.81, 1.05
0.28, -0.09, 0.6, 0.79
0.15, -0.04, 0.33, 0.45
0.0, 0.0, 0.0, 0.0
0.23, -0.36, 0.65, 0.52
0.26, -0.31, 0.66, 0.61
0.29, -0.26, 0.66, 0.69
0.3, -0.21, 0.66, 0.75
0.31, -0.17, 0.63, 0.77
0.3, -0.13, 0.6, 0.76
0.27, -0.09, 0.54, 0.71
0.23, -0.06, 0.45, 0.62
0.17, -0.03, 0.33, 0.47
0.1, -0.01, 0.19, 0.27
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
1.44, -0.81, 2.53, 3.16
1.41, -0.63, 2.49, 3.28
1.31, -0.56, 2.45, 3.2
1.15, -0.56, 2.38, 2.98
0.96, -0.61, 2.27, 2.63
0.74, -0.66, 2.12, 2.2
0.52, -0.7, 1.89, 1.71
0.32, -0.68, 1.58, 1.22
0.16, -0.58, 1.17, 0.75
0.04, -0.37, 0.65, 0.33
0.0, 0.0, 0.0, 0.0
1.24, -0.97, 2.53, 2.8
1.27, -0.81, 2.49, 2.95
1.2, -0.73, 2.45, 2.91
1.08, -0.72, 2.38, 2.73
0.9, -0.74, 2.27, 2.43
0.7, -0.77, 2.11, 2.05
0.5, -0.77, 1.89, 1.62
0.3, -0.72, 1.58, 1.16
0.14, -0.6, 1.17, 0.72
0.04, -0.37, 0.65, 0.32
0.0, 0.0, 0.0, 0.0
1.05, -1.1, 2.51, 2.45
1.11, -0.96, 2.47, 2.62
1.07, -0.88, 2.43, 2.62
